Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Kia Cerato III Рестайлинг (Classic),1010000,2018,124860,седан,белый,1.6,130,Бензин,3250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103108465-654f6320/
Kia Cerato III,800000,2014,100480,седан,красный,1.6,130,Бензин,3250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103081995-008390f3/
Kia Cerato III Рестайлинг (Classic),1050000,2017,110000,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103458880-893025e9/
Kia Cerato IV,1599000,2020,11000,седан,чёрный,2.0,150,Бензин,5100,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103756635-f56b21ff/
Kia Cerato II,487000,2012,224000,седан,чёрный,1.6,126,Бензин,4410,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103744071-7f940bbc/
,,2020,4700,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1101940892-0efe6b5b/
Kia Cerato III,569000,2013,151000,седан,бежевый,1.6,130,Бензин,4550,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103108537-2eeb6a57/
Kia Cerato IV,1490000,2019,13276,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103743230-c3d5507e/
Kia Cerato III,825000,2014,94000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103705551-fbfaa8bc/
Kia Cerato II,589000,2010,91000,седан,голубой,1.6,126,Бензин,4410,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103640288-f27f63f9/
Kia Cerato II,690000,2010,144030,купе,чёрный,1.6,126,Бензин,4410,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103683631-d51e3fae/
Kia Cerato III Рестайлинг (Classic),849000,2017,89299,седан,белый,1.6,130,Бензин,4550,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103010910-b60ea3d6/
Kia Cerato IV,1499000,2020,22000,седан,белый,1.6,128,Бензин,4480,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103761793-547058d4/
Kia Cerato III Рестайлинг (Classic),1145510,2018,69853,седан,синий,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103067781-100d59eb/
Kia Cerato II,435000,2010,119977,седан,серый,1.6,126,Бензин,4410,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103677113-334282c1/
Kia Cerato III Рестайлинг (Classic),975000,2017,123254,седан,чёрный,1.6,130,Бензин,4550,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103277613-27b72ff8/
Kia Cerato III Рестайлинг (Classic),1389000,2019,12962,седан,коричневый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103750162-249f4bbd/
Kia Cerato II,750000,2011,91852,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103649133-0fb2d71a/
Kia Cerato II,599000,2012,154184,седан,красный,1.6,126,Бензин,4410,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103339134-964b64fe/
Kia Cerato III,779000,2014,108000,седан,белый,1.6,130,Бензин,4550,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103569895-29b4eaef/
Kia Cerato III Рестайлинг (Classic),1190000,2017,109114,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103747676-4f65b633/
Kia Cerato III Рестайлинг (Classic),1210000,2018,49768,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103597719-382e5418/
Kia Cerato I Рестайлинг,345000,2007,152000,седан,красный,1.6,122,Бензин,3050,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1102531534-b1540139/
Kia Cerato III Рестайлинг (Classic),989000,2017,139512,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103735108-f2d66ce0/
Kia Cerato II,529000,2012,91500,седан,серый,1.6,126,Бензин,4410,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103124700-775427fe/
Kia Cerato III Рестайлинг (Classic),849000,2018,125918,седан,белый,1.6,130,Бензин,4550,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103252717-906b0c2f/
Kia Cerato I,245000,2004,223000,хэтчбек 5 дв.,голубой,1.6,105,Бензин,2625,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103653955-f928e80b/
Kia Cerato II,499000,2010,133190,седан,красный,1.6,126,Бензин,4410,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103000730-9825e780/
Kia Cerato III Рестайлинг (Classic),849000,2018,151000,седан,белый,1.6,130,Бензин,4550,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103631382-e88c41cd/
Kia Cerato III,780000,2015,165539,седан,коричневый,1.6,130,Бензин,4550,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103723640-e6434ba3/
Kia Cerato IV,1165000,2019,45637,седан,серый,1.6,128,Бензин,4480,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103710503-45ce5ebf/
Kia Cerato III,948000,2015,105000,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103719258-a50e5d67/
Kia Cerato III,730000,2014,155000,седан,серебристый,1.6,130,Бензин,4550,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103343179-77323d82/
Kia Cerato II,635000,2010,146394,седан,серый,2.0,156,Бензин,7020,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103598345-855fa980/
Kia Cerato III Рестайлинг (Classic),1250000,2019,12911,седан,серебристый,1.6,130,Бензин,4550,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103405828-42928b11/
Kia Cerato III,755000,2013,126957,седан,серый,1.6,130,Бензин,4550,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103399226-277c3726/
Kia Cerato IV,1617000,2020,21416,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103450819-415b30aa/
Kia Cerato II,694000,2012,112446,седан,белый,1.6,126,Бензин,4410,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/cerato/1103712277-fc7c58e0/
